|GPIO47|96752_ERR_N|To HSD connector as 96752_Error|See block diagram|
|GPIO48|DHU_DIS_EN|To HSD connector as DHU_DIS_ENABLE|See block diagram|
|GPIO49|DHU_CSD_EN|To HSD connector as DHU_CSD_ENABLE|See block diagram|
|GPIO50|SER2_PDB_N|To DP Serializer as LVD S0_PDB/ (Analog switch en/RST)|See block diagram|
|GPIO51|SER2_INT_N|To DP Serializer as LVD S0_IN T/TP_Err/TP_IN T/ LOCK/TCON_ASIL|See block diagram|
|GPIO52|FT_UART0_TXD|To FT232: PERI1_UART_0_TX|Debug UART|
|GPIO53|FT_UART0_RXD|To FT232: PERI1_UART_0_RX|Debug UART|
|GPIO54|EXP_SER_I2C2_SDA|To GPIO Expander for Serializer on Display Board: PERI1_I2C_2_SDA|?|
|GPIO55|EXP_SER_I2C2_SCL|To GPIO Expander for Serializer on Display Board: PERI1_I2C_2_SCL|?|
|GPIO56|FLASH_SPI0_SCLK_R|To SPI Flash on CPU board: PERI1_SPI_MST_0_SCLK|?|
|GPIO57|FLASH_SPI0_SS0|To SPI Flash on CPU board: PERI1_SPI_MST_0_SS0|?|
|GPIO58|FLASH_SPI0_MISO|To SPI Flash on CPU board: PERI1_SPI_MST_0_MISO|?|
|GPIO59|FLASH_SPI0_MOSI_R|To SPI Flash on CPU board: PERI1_SPI_MST_0_MOSI|?|
|GPIO60|DESER_PWM0_R|To CSI0/1/2/3 DeSerializer 96722 on Camera Board: PERI1_PWM_0|AVM Camera Fsync|
|GPIO61|FT_UART1_TXD|To FT232: PERI1_UART_1_TX|Debug UART|
|GPIO62|FT_UART1_RXD|To FT232: PERI1_UART_1_RX|Debug UART|
|GPIO63|EXP_DESER_I2C3_SDA|To GPIO Expander for DeSerializer on Camera Board: PERI1_I2C_3_SDA|TCA9539QPWRQ1|
|GPIO64|EXP_DESER_I2C3_SCL|To GPIO Expander for DeSerializer on Camera Board: PERI1_I2C_3_SCL|TCA9539QPWRQ1|
|GPIO65|FT_UART2_TXD|To FT232: PERI1_UART_2_TX|Debug UART|
|GPIO66|FT_UART2_RXD|To FT232: PERI1_UART_2_RX|Debug UART|
|GPIO67|EXP_BASE_I2C4_SDA|To General GPIO Expander on Base Board: PERI1_I2C_4_SDA|?|
|GPIO68|EXP_BASE_I2C4_SCL|To General GPIO Expander on Base Board: PERI1_I2C_4_SCL|?|
|GPIO69|SER2_I2C5_SDA|To DP Serializer. Main UART PERI1_UART_3_TX or I2C PERI1_I2C_5_SDA|?|
|GPIO70|SER2_I2C5_SCL|To DP Serializer. Main UART PERI1_UART_3_RX or I2C PERI1_I2C_5_SCL|?|
|GPIO71|SER2_I2C6_SDA|To DP Serializer. PassThru UART PERI1_UART_4_TX or I2C PERI1_I2C_6_SDA|?|
|GPIO72|SER2_I2C6_SCL|To DP Serializer. PassThru UART PERI1_UART_4_RX or I2C PERI1_I2C_6_SCL|?|
|GPIO73|EXP_BASE_INT_N|Int: General GPIO Expander on Base Board|?|
|GPIO74|SAF_SPI1_SCLK_R|To Audio DSP: PERI1_SPI_MST_1_SCLK|?|
|GPIO75|SAF_SPI1_SS0|To Audio DSP: PERI1_SPI_MST_1_SS0|?|
|GPIO76|SAF_SPI1_MISO|To Audio DSP: PERI1_SPI_MST_1_MISO|?|
|GPIO77|SAF_SPI1_MOSI_R|To Audio DSP: PERI1_SPI_MST_1_MOSI|?|
|GPIO78|USB3_OC_N|To USB3 OC: USB3_OVERCURRENT_N|?|
|GPIO79|SER1_I2C7_SDA|To DSI1 Serializer. Main UART PERI1_UART_5_TX or I2C PERI1_I2C_7_SDA|?|
|GPIO80|SER1_I2C7_SCL|To DSI1 Serializer. Main UART PERI1_UART_5_RX or I2C PERI1_I2C_7_SCL|?|
|GPIO81|SER1_I2C8_SDA|To DSI1 Serializer. PassThru UART PERI1_UART_6_TX or I2C PERI1_I2C_8_SDA|?|
|GPIO82|SER1_I2C8_SCL|To DSI1 Serializer. PassThru UART PERI1_UART_6_RX or I2C PERI1_I2C_8_SCL|?|
|GPIO83|DESER_I2C9_SDA|To CSI4/5 DeSerializer. Main I2C PERI1_I2C_9_SDA or Main UART PERI1_UART_7_TX|?|
|GPIO84|DESER_I2C9_SCL|To CSI4/5 DeSerializer. Main I2C PERI1_I2C_9_SCL or Main UART PERI1_UART_7_RX|?|
|GPIO85|SENSE_I2C10_SDA|PERI1_I2C_10_SDA to 3.8V current sense circuit and reserved header for MFI|?|
|GPIO86|SENSE_I2C10_SCL|PERI1_I2C_10_SCL to 3.8V current sense circuit and reserved header for MFI|?|
|GPIO87|SOC_GPIO87|To CSI4/5 DeSerializer 96722(2nd): PERI1_PWM_1|Camera Fsync|
|GPIO88|DESER_I2C11_SDA|To CSI6/7 DeSerializer. Main I2C PERI1_I2C_11_SDA or Main UART PERI1_UART_9_TX|?|
|GPIO89|DESER_I2C11_SCL|To CSI6/7 DeSerializer. Main I2C PERI1_I2C_11_SCL or Main UART PERI1_UART_9_RX|?|
|GPIO90|SOC_HDR25|Reserve 0-ohm to pin header on CPU board :PERI1_I2C_12_SDA or UART PERI1_UART_10_TX|?|
|GPIO91|SOC_HDR26|Reserve 0-ohm to pin header on CPU board :PERI1_I2C_12_SCL or UART PERI1_UART_10_RX|?|
|GPIO92|DESER_I2C13_SDA|To CSI0/1/2/3 DeSerializer. Main I2C PERI1_I2C_13_SDA or Main UART PERI1_UART_11_TX|?|
|GPIO93|DESER_I2C13_SCL|To CSI0/1/2/3 DeSerializer. Main I2C PERI1_I2C_13_SCL or Main UART PERI1_UART_11_RX|?|
|GPIO94|SDARS_UART12_TXD|To Audio (SDARS): PERI1_UART_12_TX|Reserve 0-ohm to pin header|
|GPIO95|SDARS_UART12_RXD|To Audio (SDARS): PERI1_UART_12_RX|Reserve 0-ohm to pin header|
|GPIO96|M2_UART13_TXD|To M.2: PERI1_UART_13_TX|?|
|GPIO97|M2_UART13_RXD|To M.2: PERI1_UART_13_RX|?|
|GPIO98|M2_UART13_CTS|To M.2: PERI1_UART_13_CTS|?|
|GPIO99|M2_UART13_RTS|To M.2: PERI1_UART_13_RTS|?|
|GPIO100|BOOT_CFG1|To DIP Switch: BOOT_CONF1|?|
|GPIO101|BOOT_CFG2|To DIP Switch: BOOT_CONF2|?|
|GPIO102|I2C_PMIC1_SCLK|To PMIC: SAF_I2C_0_SCL|?|
|GPIO103|I2C_PMIC1_SDA|To PMIC: SAF_I2C_0_SDA|?|
|GPIO104|A2B_TEF_I2C_SCL|To 2^nd^ A2B and TEF3200 :SAF_I2C_1_SCL|T-type dual layout with MCU I2C|
|GPIO105|A2B_TEF_I2C_SDA|To 2^nd^ A2B and TEF3200 :SAF_I2C_1_SDA|T-type dual layout with MCU I2C|
|GPIO106|SER0_I2C0_SDA|To DSI0 Serializer. Main UART SAF_UART_0_TX or I2C PERI2_I2C_0_SDA|Safe UART|
|GPIO107|SER0_I2C0_SCL|To DSI0 Serializer. Main UART SAF_UART_0_RX or I2C PERI2_I2C_0_SCL|Safe UART|
|GPIO108|SER0_I2C2_SDA|To DSI0 Serializer. PassThru I2C SAF_I2C_2_SDA|0-ohm mux with GPIO118|
|GPIO109|SER0_I2C2_SCL|To DSI0 Serializer. PassThru I2C SAF_I2C_2_SCL|0-ohm mux with GPIO119|
|GPIO110|SOC_HDR7|To pin header on CPU board: SAF_GPIO_0|Safe GPIO|
|GPIO111|SOC_HDR8|To pin header on CPU board: SAF_GPIO_1|Safe GPIO|
|GPIO112|SOC_HDR9|To pin header on CPU board: GPIO or SAF_PWM_0 or GP_CLK0|?|
|GPIO113|SER0_SPI0_SCLK_R|To DSI0 Serializer: ?SAF_SPI_MST_0_SCLK|?|
|GPIO114|SER0_SPI0_SS0|To DSI0 Serializer:? SAF_SPI_MST_0_SS0|?|
|GPIO115|SER0_SPI0_MISO|To DSI0 Serializer:? SAF_SPI_MST_0_MISO|?|
|GPIO116|SER0_SPI0_MOSI_R|To DSI0 Serializer: ?SAF_SPI_MST_0_MOSI|?|
|GPIO117|DESER_ERR1_N|CAM_ERROR_N1 input from CSI4/5 DeSerializer 96722 on Camera Board|?|
|GPIO118|SER0_UART1_TXD|To DSI0 Serializer and pin header. PassThru UART SAF_UART_1_TX|Safe UART, 0-ohm mux with GPIO108|
|GPIO119|SER0_UART1_RXD|To DSI0 Serializer and pin header. PassThru UART SAF_UART_1_RX|Saft UART, 0-ohm mux with GPIO109|
|GPIO120|EXP_DESER_RST_N|Reset: GPIO Expander for DeSerializer on Camera Board|?|
|GPIO121|EXP_DESER_INT_N|Int: GPIO Expander for DeSerializer on Camera Board|?|
|GPIO122|EXP_SER_RST_N|Reset: GPIO Expander for Serializer on Display Board|?|
|GPIO123|EXP_SER_INT_N|Int: GPIO Expander for Serializer on Display Board|?|
|GPIO124|QSPI_DAT0_R|To QSPI Flash on CPU board: SAF_QSPI_DAT0|?|
|GPIO125|QSPI_DAT1_R|To QSPI Flash on CPU board: SAF_QSPI_DAT1|?|
|GPIO126|QSPI_DAT2_R|To QSPI Flash on CPU board: SAF_QSPI_DAT2|?|
|GPIO127|QSPI_DAT3_R|To QSPI Flash on CPU board: SAF_QSPI_DAT3|?|
|GPIO128|QSPI_SCLK_R|To QSPI Flash on CPU board: SAF_QSPI_SCLK|?|
|GPIO129|QSPI_SS0_N|To QSPI Flash on CPU board: SAF_QSPI_SS0|?|
|GPIO130|EXP_BASE_RST_N|Reset: General GPIO Expander on Base Board|?|
|GPIO131|SOC_HDR10|To pin header on CPU board: SAF_GPIO_2 or SAF_LCD_TE4|Safe GPIO, 1.8V|
|GPIO132|SOC_FAULT0|SOC_FAULT0 to MCU GPIO|Dedicated pin|
|GPIO133|SOC_FAULT1|SOC_FAULT1 to MCU GPIO|Dedicated pin|
|GPIO134|SOC_MCU_HDR11|To MCU GPIO and pin header: SAF_GPIO_3 or PERI2_UART_1_TX|Safe GPIO|
|GPIO135|SOC_MCU_HDR12|To MCU GPIO and pin header: SAF_GPIO_4 or PERI2_UART_1_RX|Safe GPIO|
|GPIO136|SOC_MCU_HDR13|To MCU GPIO and pin header: SAF_GPIO_5 or PERI2_UART_1_CTS or PERI2_I2C_1_SDA|Safe GPIO|
|GPIO137|SOC_MCU_HDR14|To MCU GPIO and pin header: SAF_GPIO_6 or PERI2_UART_1_RTS or PERI2_I2C_1_SCL|Safe GPIO|
|GPIO138|IPC_SPI_SCK|SPI SOC Slave to MCU Master. SPI_SLV_0_SCLK|Safe SPI|
|GPIO139|IPC_SPI_CS|SPI SOC Slave to MCU Master.SPI_SLV_0_SS|Safe SPI|
|GPIO140|IPC_SPI_MOSI|SPI SOC Slave to MCU Master.SPI_SLV_0_MOSI|Safe SPI|
|GPIO141|IPC_SPI_MISO_R|SPI SOC Slave to MCU Master.SPI_SLV_0_MISO|Safe SPI|
|GPIO142|SOC_MCU_HDR15|To MCU GPIO and pin header: SAF_GPIO_7 or SAF_I2C_3_SCL|Safe GPIO|
|GPIO143|MCU_UART2_TXD|To MCU, SAF_UART_2_TX|Safe UART|
|GPIO144|MCU_UART2_RXD|To MCU, SAF_UART_2_RX|Saft UART|
|GPIO145|SOC_MCU_HDR16|To MCU GPIO and pin header: SAF_GPIO_8|Safe GPIO|
|GPIO146|SOC_MCU_HDR17|To MCU GPIO and pin header: SAF_GPIO_9|Safe GPIO|
|GPIO147|SOC_HDR18|To pin header: GPIO or MAC_SYNC_IO0 or SAF_I2C_3_SDA|?|
|GPIO148|SOC_RGMII0_TX_CLK_R|RGMII_0_TX_CLK|?|
|GPIO149|SOC_RGMII0_TXD3_R|RGMII_0_TXD3|?|
|GPIO150|SOC_RGMII0_TXD2_R|RGMII_0_TXD2|?|
|GPIO151|SOC_RGMII0_TXD1_R|RGMII_0_TXD1|?|
|GPIO152|SOC_RGMII0_TXD0_R|RGMII_0_TXD0|?|
|GPIO153|SOC_RGMII0_TX_CTL_R|RGMII_0_TX_CTL|?|
|GPIO154|SOC_RGMII0_RX_CLK|RGMII_0_RX_CLK|?|
|GPIO155|SOC_RGMII0_RXD3|RGMII_0_RXD3|?|
|GPIO156|SOC_RGMII0_RXD2|RGMII_0_RXD2|?|
|GPIO157|SOC_RGMII0_RXD1|RGMII_0_RXD1|?|
|GPIO158|SOC_RGMII0_RXD0|RGMII_0_RXD0|?|
|GPIO159|SOC_RGMII0_RX_CTL|RGMII_0_RX_CTL|?|
|GPIO160|SOC_MCU_HDR19|To MCU GPIO and pin header: GPIO or SAF_RGMII_0_MDC|Non safety GPIO|
|GPIO161|SOC_MCU_HDR20|To MCU GPIO and pin header: GPIO or SAF_RGMII_0_MDIO|Non safety GPIO|
|GPIO162|SOC_HDR21|To pin header: GPIO or MAC_SYNC_IO1|?|
|GPIO163|SOC_HDR22|To pin header: GPIO or MAC_SYNC_IN|?|
|GPIO164|SOC_RGMII1_TX_CLK_R|RGMII_1_TX_CLK|?|
|GPIO165|SOC_RGMII1_TXD3_R|RGMII_1_TXD3|?|
|GPIO166|SOC_RGMII1_TXD2_R|RGMII_1_TXD2|?|
|GPIO167|SOC_RGMII1_TXD1_R|RGMII_1_TXD1|?|
|GPIO168|SOC_RGMII1_TXD0_R|RGMII_1_TXD0|?|
|GPIO169|SOC_RGMII1_TX_CTL_R|RGMII_1_TX_CTL|?|
|GPIO170|SOC_RGMII1_RX_CLK|RGMII_1_RX_CLK|?|
|GPIO171|SOC_RGMII1_RXD3|RGMII_1_RXD3|?|
|GPIO172|SOC_RGMII1_RXD2|RGMII_1_RXD2|?|
|GPIO173|SOC_RGMII1_RXD1|RGMII_1_RXD1|?|
|GPIO174|SOC_RGMII1_RXD0|RGMII_1_RXD0|?|
|GPIO175|SOC_RGMII1_RX_CTL|RGMII_1_RX_CTL|?|
|GPIO176|SOC_MCU_HDR23|To MCU GPIO and pin header: GPIO or SAF_RGMII_0_MDC|Non safety GPIO|
|GPIO177|SOC_MCU_HDR24|To MCU GPIO and pin header: GPIO or SAF_RGMII_0_MDIO|Non safety GPIO|
|GPIO178|STR_N0|STR_N0 to MCU GPIO|Logic inverted|
|GPIO179|STR_N1|STR_N1 to MCU GPIO|Logic inverted|
|GPIO180|PCIE_CFG0|To pull up/down resistors: pcie_mode_cfg0|?|
|GPIO181|PCIE_CFG1|To pull up/down resistors: pcie_mode_cfg1|?|
|GPIO182|OSC192_SEL|To pull up/down resistors on CPU Board: osc192_sel|Select 19.2MHz clock input type|
|GPIO183|DESER_ERR2_N|CAM_ERROR_N2 input from CSI6/7 DeSerializer 9296A on Camera Board|?|
|GPIO184|SMI_INT1_N|To SMI130: INT1|Reserve 0-ohm to pin header|
|GPIO185|SMI_INT2_N|?|?|

?
SEXXXXX-24,01/Nov/21 2:14 PM;tom.sun;MCU GPIO（临时版本，待更新）：
|port|net name|pin name|IO|Pull-up/down|
|EXTAL|MCU_EXTAL|58|I|?|
|PA[0]_GPIO[0]|MCU_CAN1_RXD|24|?|?|
|PA[1]_GPIO[1]|AP0_PG|19|I|PU|
|PA[2]_GPIO[2]|P3V3_PG|17|I|PU|
|PA[3]_GPIO[3]|MCU_KEY_SIG|114|I|PD|
|PA[4]_GPIO[4]|P11V8_PG|51|I|PU|
|PA[5]_GPIO[5]|MCU_SOC_PS|146|IO|?|
|PA[6]_GPIO[6]|MCU_LIN1_NSLP|147|O|?|
|PA[7]_GPIO[7]|SOC_RESOUT_3V3|128|IO|PU|
|PA[8]_GPIO[8]|MCU_SW_RMII_RXD1|129|I|?|
|PA[9]_GPIO[9]|MCU_SW_RMII_RXD0|130|I|?|
|PA[10]_GPIO[10]|MCU_PHY1_RST_N|131|O|?|
|PA[11]_GPIO[11]|MCU_SW_RMII_RXER|132|I|?|
|PA[12]_GPIO[12]|MCU_ECALL_MUTE|53|I|PD|
|PA[13]_GPIO[13]|MCU_SOC_INT_QNX|52|IO|?|
|PA[14]_GPIO[14]|MCU_LIN2_NSLP|50|O|?|
|PA[15]_GPIO[15]|P3V8_PG|48|I|PU|
|PB[0]_GPIO[16]|MCU_CAN0_TXD|39|?|?|
|PB[1]_GPIO[17]|MCU_CAN0_RXD|40|I|?|
|PB[2]_GPIO[18]|MCU_LIN1_TX|176|?|?|
|PB[3]_GPIO[19]|MCU_LIN1_RX|1|I|PU|
|PB[4]_GPI[20]|SOC_MCU_INT_GPT|88|IO|?|
|PB[5]_GPI[21]|PBAT_DET|91|AD|?|
|PB[6]_GPI[22]|MCU_EXP_INT_N|92|I|PU|
|PB[7]_GPI[23]|ADC_PHANTOM_DET0|93|AD|?|
|PB[8]_GPI[24]|P5V_ANT_ERR_N|61|I|PU|
|PB[9]_GPI[25]|P11V_ANT_ERR_N|60|I|PU|
|PB[10]_GPIO[26]|MCU_FLEXRAY_WAKE|62|O|?|
|PB[11]_GPIO[27]|MCU_SOC_INT_SWDL|96|IO|?|
|PB[12]_GPIO[28]|MCU_SOC_INT_SD|101|IO|?|
|PB[13]_GPIO[29]|PMIC_EN|103|O|?|
|PB[14]_GPIO[30]|P11V8_EN|105|O|?|
|PB[15]_GPIO[31]|MCU_SAF_GP1|107|IO|?|
|PC[0]_GPIO[32]|MCU_JTAG_TDI|154|I|PU|
|PC[1]_GPIO[33]|MCU_JTAG_TDO|149|O|?|
|PC[2]_GPIO[34]|PWR_BTN_N|145|I|PU|
|PC[3]_GPIO[35]|MCU_SOC_DSP|144|IO|?|
|PC[4]_GPIO[36]|MCU_FLEXRAY_STBN|159|O|?|
|PC[5]_GPIO[37]|MCU_FLEXRAY_TX|158|O|?|
|PC[6]_GPIO[38]|MCU_LIN2_TX|44|?|?|
|PC[7]_GPIO[39]|MCU_LIN2_RX|45|?|?|
|PC[8]_GPIO[40]|PC8_UART_TX|175|?|?|
|PC[9]_GPIO[41]|PC9_UART_RX|2|?|?|
|PC[10]_GPIO[42]|MCU_CAN1_TXD|36|?|?|
|PC[11]_GPIO[43]|MCU_KERNEL_SEL|35|IO|?|
|PC[12]_GPIO[44]|MCU_SAF_GP15|173|IO|?|
|PC[13]_GPIO[45]|MCU_CAN0_STBY|174|O|?|
|PC[14]_GPIO[46]|PBAT_LIN_CAN_EN|3|O|?|
|PC[15]_GPIO[47]|SOC_SUSPEND_ACK|4|IO|?|
|PD[0]_GPI[48]|MCU_SAF_GP3|77|IO|?|
|PD[1]_GPI[49]|MCU_LIN1_INH|78|I|PU|
|PD[2]_GPI[50]|SOC_MCU_PD_BU|79|IO|?|
|PD[3]_GPI[51]|ADC_PHANTOM_DET1|80|AD|?|
|PD[4]_GPI[52]|AON_PG|81|I|PU|
|PD[5]_GPI[53]|SOC_MCU_QNX|82|IO|?|
|PD[6]_GPI[54]|BUCK_BOOST_MON|83|AD|?|
|PD[7]_GPI[55]|RTC_LIN_WAKE|84|O|?|
|PD[8]_GPI[56]|ADC_PHANTOM_DET2|87|AD|?|
|PD[9]_GPI[57]|TEMP_SENSE_MAIN_ADC|94|AD|?|
|PD[10]_GPI[58]|ADC_PHANTOM_DET3|95|AD|?|
|PD[12]_GPIO[60]|MCU_CAN1_STBY|100|O|?|
|PD[13]_GPIO[61]|AON_EN|102|O|?|
|PD[14]_GPIO[62]|P3V3_EN|104|O|?|
|PD[15]_GPIO[63]|MCU_SAF_GP0|106|IO|?|
